age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,nombre_heures_travailless,annee_experience_totale,annees_dans_l_entreprise,annees_dans_le_poste_actuel,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,nombre_employee_sous_responsabilite,distance_domicile_travail,niveau_education,domaine_etude,ayant_enfants,frequence_deplacement,annees_depuis_la_derniere_promotion,annes_sous_responsable_actuel,satisfaction_employee_environnement,note_evaluation_precedente,niveau_hierarchique_poste,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,id
41,F,5993,Célibataire,Commercial,Cadre Commercial,8,80,8,6,4,Oui,0,0,1,1,2,Infra & Cloud,Y,Occasionnel,0,5,2,3,2,4,1,1,3,Oui,11.0,1
49,M,5130,Marié(e),Consulting,Assistant de Direction,1,80,10,10,7,Non,1,3,1,8,1,Infra & Cloud,Y,Frequent,1,7,3,2,2,2,4,3,4,Non,23.0,2
37,M,2090,Célibataire,Consulting,Consultant,6,80,7,0,0,Oui,0,3,1,2,2,Autre,Y,Occasionnel,0,0,4,2,1,3,2,3,3,Oui,15.0,4
33,F,2909,Marié(e),Consulting,Assistant de Direction,1,80,8,8,7,Non,0,3,1,3,4,Infra & Cloud,Y,Frequent,3,0,4,3,1,3,3,3,3,Oui,11.0,5
27,M,3468,Marié(e),Consulting,Consultant,9,80,6,2,2,Non,1,3,1,2,1,Transformation Digitale,Y,Occasionnel,2,2,1,3,1,2,4,3,3,Non,12.0,7
32,M,3068,Célibataire,Consulting,Consultant,0,80,8,7,7,Non,0,2,1,2,2,Infra & Cloud,Y,Frequent,3,6,4,3,1,4,3,2,3,Non,13.0,8
59,F,2670,Marié(e),Consulting,Consultant,4,80,12,1,0,Non,3,3,1,3,3,Transformation Digitale,Y,Occasionnel,0,0,3,4,1,1,1,2,4,Oui,20.0,10
30,M,2693,Divorcé(e),Consulting,Consultant,1,80,1,1,0,Non,1,2,1,24,1,Infra & Cloud,Y,Occasionnel,0,0,4,3,1,3,2,3,4,Non,22.0,11
38,M,9526,Célibataire,Consulting,Tech Lead,0,80,10,9,7,Non,0,2,1,23,3,Infra & Cloud,Y,Frequent,1,8,4,2,3,3,2,3,4,Non,21.0,12
36,M,5237,Marié(e),Consulting,Manager,6,80,17,7,7,Non,2,3,1,27,3,Transformation Digitale,Y,Occasionnel,7,7,3,3,2,3,2,2,3,Non,13.0,13
35,M,2426,Marié(e),Consulting,Consultant,0,80,6,5,4,Non,1,5,1,16,3,Transformation Digitale,Y,Occasionnel,0,3,1,4,1,2,3,3,3,Non,13.0,14
29,F,4193,Célibataire,Consulting,Consultant,0,80,10,9,5,Non,0,3,1,15,2,Infra & Cloud,Y,Occasionnel,0,8,4,2,2,3,4,3,3,Oui,12.0,15
31,M,2911,Divorcé(e),Consulting,Assistant de Direction,1,80,5,5,2,Non,1,1,1,26,1,Infra & Cloud,Y,Occasionnel,4,3,1,3,1,3,4,2,3,Non,17.0,16
34,M,2661,Divorcé(e),Consulting,Consultant,0,80,3,2,2,Non,1,2,1,19,2,Transformation Digitale,Y,Occasionnel,1,2,2,3,1,4,3,3,3,Non,11.0,18
28,M,2028,Célibataire,Consulting,Consultant,5,80,6,4,2,Oui,0,4,1,24,3,Infra & Cloud,Y,Occasionnel,0,3,3,2,1,3,2,3,3,Oui,14.0,19
29,F,9980,Divorcé(e),Consulting,Tech Lead,1,80,10,10,9,Non,1,1,1,21,4,Infra & Cloud,Y,Occasionnel,8,8,2,4,3,1,3,3,3,Non,11.0,20
32,M,3298,Divorcé(e),Consulting,Assistant de Direction,0,80,7,6,2,Non,2,5,1,5,2,Infra & Cloud,Y,Occasionnel,0,5,1,4,1,2,4,2,3,Oui,12.0,21
22,M,2935,Divorcé(e),Consulting,Consultant,1,80,1,1,0,Non,2,2,1,16,2,Transformation Digitale,Y,Aucun,0,0,4,4,1,4,2,2,3,Oui,13.0,22
53,F,15427,Marié(e),Commercial,Senior Manager,2,80,31,25,8,Non,0,3,1,2,4,Infra & Cloud,Y,Occasionnel,3,7,1,2,4,4,3,3,3,Non,16.0,23
38,M,3944,Célibataire,Consulting,Assistant de Direction,5,80,6,3,2,Non,0,3,1,2,3,Infra & Cloud,Y,Occasionnel,1,2,4,3,1,4,3,3,3,Oui,11.0,24
24,F,4011,Divorcé(e),Consulting,Tech Lead,0,80,5,4,2,Non,1,5,1,11,2,Autre,Y,Aucun,1,3,1,4,2,3,4,2,3,Non,18.0,26
36,M,3407,Célibataire,Commercial,Représentant Commercial,7,80,10,5,3,Oui,0,4,1,9,4,Infra & Cloud,Y,Occasionnel,0,3,3,2,1,1,2,3,4,Non,23.0,27
34,F,11994,Célibataire,Consulting,Directeur Technique,0,80,13,12,6,Non,0,4,1,7,4,Infra & Cloud,Y,Occasionnel,2,11,1,3,3,2,3,3,3,Non,11.0,28
21,M,1232,Célibataire,Consulting,Assistant de Direction,1,80,0,0,0,Non,0,6,1,15,2,Infra & Cloud,Y,Occasionnel,0,0,3,3,1,4,4,3,3,Non,14.0,30
34,M,2960,Célibataire,Consulting,Assistant de Direction,2,80,8,4,2,Oui,0,2,1,6,1,Transformation Digitale,Y,Occasionnel,1,3,2,3,1,1,3,3,3,Non,11.0,31
53,F,19094,Divorcé(e),Consulting,Senior Manager,4,80,26,14,13,Non,1,3,1,5,3,Autre,Y,Occasionnel,4,8,3,3,5,3,4,2,3,Non,11.0,32
32,F,3919,Célibataire,Consulting,Assistant de Direction,1,80,10,10,2,Oui,0,5,1,16,1,Infra & Cloud,Y,Frequent,6,7,2,1,1,1,2,3,4,Oui,22.0,33
42,M,6825,Marié(e),Commercial,Cadre Commercial,0,80,10,9,7,Non,1,2,1,8,4,Marketing,Y,Occasionnel,4,2,3,3,2,2,4,3,3,Non,11.0,35
44,F,10248,Marié(e),Consulting,Manager,3,80,24,22,6,Non,1,4,1,7,4,Transformation Digitale,Y,Occasionnel,5,17,1,2,3,4,4,3,3,Non,14.0,36
46,F,18947,Célibataire,Commercial,Senior Manager,3,80,22,2,2,Non,0,2,1,2,4,Marketing,Y,Occasionnel,2,1,2,3,5,1,4,2,3,Non,12.0,38
33,M,2496,Célibataire,Consulting,Consultant,4,80,7,1,1,Non,0,3,1,2,3,Transformation Digitale,Y,Occasionnel,0,0,3,3,1,4,4,3,3,Non,11.0,39
